,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area
0,109326177,North Beach,unknown,1200000,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/north-beach/durban/kwazulu-natal/6022/109326177,2,2,1,57 m²,,
1,109326170,Durban Central,unknown,695000,1 Bedroom Apartment,Harcourts Equity,/for-sale/durban-central/durban/kwazulu-natal/5992/109326170,1,1,,73 m²,,
2,109326169,Glenwood,11 Sycamore Street Glenwood,780000,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/109326169,2,1,1,91 m²,,
3,109157205,Westridge,450 Queen Elizabeth Avenue,970000,2 Bedroom Apartment,Rawson Properties Berea,/for-sale/westridge/durban/kwazulu-natal/6202/109157205,2,1,2,70 m²,,
4,109326167,North Beach,unknown,2350000,3 Bedroom Apartment,unknown,/for-sale/north-beach/durban/kwazulu-natal/6022/109326167,3,2,1,,,
5,109325920,Morningside,40 10th Ave,900000,2 Bedroom Apartment,unknown,/for-sale/morningside/durban/kwazulu-natal/6021/109325920,2,1,1,59 m²,,
6,109325891,Point Waterfront,unknown,2566800,3 Bedroom Apartment,Prime Property Umhlanga,/for-sale/point-waterfront/durban/kwazulu-natal/6024/109325891,3,2,2,94 m²,,
7,109325885,Morningside,unknown,2190000,3.5 Bedroom House,Sam Harwood Property,/for-sale/morningside/durban/kwazulu-natal/6021/109325885,3.5,2,3,,696 m²,
8,109319612,Reservoir Hills,93 Chiltern Drive,830000,3 Bedroom Apartment,Harcourts Pulse,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/109319612,3,2,3,103 m²,,
9,109299306,Bluff,60 Dunville Road,1850000,4 Bedroom House,Wakefields Estate Agents Bluff,/for-sale/bluff/durban/kwazulu-natal/12970/109299306,4,2,2,,1 013 m²,
10,109324093,Congella,88 Blake Road,5500000,Commercial Property,Swindon Property - Durban,/for-sale/congella/durban/kwazulu-natal/6045/109324093,,,,1 050 m²,,
11,109323904,Clare Hills,7 Alpaca Place,1270000,4 Bedroom House,Leadhome,/for-sale/clare-hills/durban/kwazulu-natal/6186/109323904,4,2,2,,650 m²,
12,109324030,Glenwood,37 Cromwell Road,980000,2 Bedroom Apartment,Tyson Properties Glenwood,/for-sale/glenwood/durban/kwazulu-natal/6034/109324030,2,1,1,110 m²,,
13,109325340,Musgrave,15 Rothesay Pl,1695000,2 Bedroom Apartment,unknown,/for-sale/musgrave/durban/kwazulu-natal/6166/109325340,2,1,2,131 m²,,
14,109095270,Essenwood,unknown,2520000,3 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/essenwood/durban/kwazulu-natal/6165/109095270,3,3.5,2,230 m²,,
15,109316594,Westridge,450 Queen Elizabeth Avenue,970000,2 Bedroom Apartment,Rawson Properties Berea,/for-sale/westridge/durban/kwazulu-natal/6202/109316594,2,1,2,70 m²,,
16,109315484,Windermere,1 Peace Avenue,795000,2 Bedroom Apartment,Pam Golding Properties - Durban,/for-sale/windermere/durban/kwazulu-natal/6033/109315484,2,1,1,58 m²,,
17,109323896,Glenwood,7 Woodburn Place,675000,1.5 Bedroom Apartment,Tyson Properties Glenwood,/for-sale/glenwood/durban/kwazulu-natal/6034/109323896,1.5,1,1,80 m²,,
18,109324826,Durban Central,"29 Ss Chelsea Court, 67 Victoria Embankment Avenue",415000,2 Bedroom Apartment,RE/MAX Advance - Bluff,/for-sale/durban-central/durban/kwazulu-natal/5992/109324826,2,1,,62 m²,,
19,109314307,Morningside,724 Stephen Dlamini Road,3100000,2 Bedroom Apartment,Rawson Properties Berea,/for-sale/morningside/durban/kwazulu-natal/6021/109314307,2,2,2,124 m²,,
20,109314272,North Beach,91 Somtseu Road,2495000,5 Bedroom Apartment,Rawson Properties Durban City,/for-sale/north-beach/durban/kwazulu-natal/6022/109314272,5,3.5,4,171 m²,,
21,109318406,Durban Central,9 Dorothy Nyembe Street,55000000,Commercial Property,Rawson Properties Berea,/for-sale/durban-central/durban/kwazulu-natal/5992/109318406,,,,5 204 m²,,
22,109268372,Musgrave,188 Silverton Road,6495000,5 Bedroom Townhouse,Rawson Properties Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/109268372,5,5,4,,926 m²,
23,109322982,Morningside,205 Sutton Crescent,650000,1 Bedroom Apartment,Harcourts Equity,/for-sale/morningside/durban/kwazulu-natal/6021/109322982,1,1,2,46 m²,,
24,109312252,Morningside,32 Haden Road,795000,1 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/morningside/durban/kwazulu-natal/6021/109312252,1,1,1,78 m²,,
