,Unnamed: 0,Unnamed: 0.1,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area,address2,lat,lon
0,0,0,109326177,North Beach,unknown,1200000.0,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/north-beach/durban/kwazulu-natal/6022/109326177,2.0,2.0,1.0,57.0,,,North Beach Durban,-29.846709099999998,31.035285842256584
1,1,1,109326170,Durban Central,unknown,695000.0,1 Bedroom Apartment,Harcourts Equity,/for-sale/durban-central/durban/kwazulu-natal/5992/109326170,1.0,1.0,,73.0,,,Durban Central Durban,-29.8574209,31.02222775321959
2,2,2,109326169,Glenwood,11 Sycamore Street Glenwood,780000.0,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/109326169,2.0,1.0,1.0,91.0,,,11 Sycamore Street Glenwood Durban,,
3,3,3,109157205,Westridge,450 Queen Elizabeth Avenue,970000.0,2 Bedroom Apartment,Rawson Properties Berea,/for-sale/westridge/durban/kwazulu-natal/6202/109157205,2.0,1.0,2.0,70.0,,,450 Queen Elizabeth Avenue Durban,-29.8600416,30.9805307
4,4,4,109326167,North Beach,unknown,2350000.0,3 Bedroom Apartment,unknown,/for-sale/north-beach/durban/kwazulu-natal/6022/109326167,3.0,2.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
5,5,5,109325920,Morningside,40 10th Ave,900000.0,2 Bedroom Apartment,unknown,/for-sale/morningside/durban/kwazulu-natal/6021/109325920,2.0,1.0,1.0,59.0,,,40 10th Ave Durban,-29.8365936,31.0129745
6,6,6,109325891,Point Waterfront,unknown,2566800.0,3 Bedroom Apartment,Prime Property Umhlanga,/for-sale/point-waterfront/durban/kwazulu-natal/6024/109325891,3.0,2.0,2.0,94.0,,,Point Waterfront Durban,-29.861825,31.009909
7,7,7,109325885,Morningside,unknown,2190000.0,3.5 Bedroom House,Sam Harwood Property,/for-sale/morningside/durban/kwazulu-natal/6021/109325885,3.5,2.0,3.0,,696.0,,Morningside Durban,-29.8183613,31.0180771
8,8,8,109319612,Reservoir Hills,93 Chiltern Drive,830000.0,3 Bedroom Apartment,Harcourts Pulse,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/109319612,3.0,2.0,3.0,103.0,,,93 Chiltern Drive Durban,-29.8200376,30.9582214
9,9,9,109299306,Bluff,60 Dunville Road,1850000.0,4 Bedroom House,Wakefields Estate Agents Bluff,/for-sale/bluff/durban/kwazulu-natal/12970/109299306,4.0,2.0,2.0,,1013.0,,60 Dunville Road Durban,-29.9139136,31.0099417
10,10,10,109324093,Congella,88 Blake Road,5500000.0,Commercial Property,Swindon Property - Durban,/for-sale/congella/durban/kwazulu-natal/6045/109324093,,,,1050.0,,,88 Blake Road Durban,-29.8638566,31.0069226
11,11,11,109323904,Clare Hills,7 Alpaca Place,1270000.0,4 Bedroom House,Leadhome,/for-sale/clare-hills/durban/kwazulu-natal/6186/109323904,4.0,2.0,2.0,,650.0,,7 Alpaca Place Durban,-29.823225,30.9683957
12,12,12,109324030,Glenwood,37 Cromwell Road,980000.0,2 Bedroom Apartment,Tyson Properties Glenwood,/for-sale/glenwood/durban/kwazulu-natal/6034/109324030,2.0,1.0,1.0,110.0,,,37 Cromwell Road Durban,-29.8633599,30.9965201
13,13,13,109325340,Musgrave,15 Rothesay Pl,1695000.0,2 Bedroom Apartment,unknown,/for-sale/musgrave/durban/kwazulu-natal/6166/109325340,2.0,1.0,2.0,131.0,,,15 Rothesay Pl Durban,-29.8440837,31.000094
14,14,14,109095270,Essenwood,unknown,2520000.0,3 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/essenwood/durban/kwazulu-natal/6165/109095270,3.0,3.5,2.0,230.0,,,Essenwood Durban,-29.8369444,31.0130556
